Market,Sample,n,beta2,p,sig,R2
S\&P 500,Full,2514,0.93128,0.0112,**,0.395
S\&P 500,Sub,1509,0.72031,0.0924,*,0.43
Ibovespa,Full,2486,0.35484,0.3571,,0.374
Ibovespa,Sub,1492,0.3845,0.3061,,0.435
Nifty 50,Full,2465,0.32176,0.3676,,0.337
Nifty 50,Sub,1480,0.01406,0.9703,,0.39
FTSE 100,Full,2524,1.36451,0.4029,,0.355
FTSE 100,Sub,1514,0.54368,0.6778,,0.365
DAX 40,Full,2560,0.78161,0.1737,,0.263
DAX 40,Sub,1538,-0.04316,0.9271,,0.347
Nikkei 225,Full,2465,0.35502,0.2892,,0.212
Nikkei 225,Sub,1463,0.64896,0.0018,***,0.255
