quantile,param,coef,lower_ci,upper_ci,p_value
0.1,alpha,0.009115814590620839,0.008865333812820887,0.00936629536842079,0.0
0.1,beta1_up,0.12023341184794643,0.0749319467238575,0.16553487697203537,2.088571084185104e-07
0.1,beta1_dn,0.11514547331902814,0.08688148761351472,0.14340945902454155,1.9733002406398103e-15
0.1,beta2_up,1.9883266209128354,0.6470478688046017,3.329605373021069,0.0036808232771709543
0.1,beta2_dn,0.684755893516592,0.2389388650994146,1.1305729219337695,0.002620787900032735
0.25,alpha,0.010377767403683041,0.010159731033505419,0.010595803773860664,0.0
0.25,beta1_up,0.14888925711162343,0.11702942279472636,0.1807490914285205,9.399420137716337e-20
0.25,beta1_dn,0.132210323641324,0.1086733083171613,0.15574733896548673,1.1805067654798397e-27
0.25,beta2_up,1.765602244596927,0.9824833246603976,2.5487211645334567,1.0204594796065141e-05
0.25,beta2_dn,0.5376521572694578,0.2572790975689858,0.8180252169699298,0.00017328357904305175
0.5,alpha,0.012067096638485417,0.01182774891474223,0.012306444362228603,0.0
0.5,beta1_up,0.13428396706616585,0.1035593065960352,0.16500862753629653,1.6765760209415575e-17
0.5,beta1_dn,0.14082313905848343,0.11548449391911615,0.1661617841978507,4.062508343041968e-27
0.5,beta2_up,3.665870570469877,3.0383898229966126,4.2933513179431415,9.874925796401192e-30
0.5,beta2_dn,1.3802695561503058,1.118019040955064,1.6425200713455474,1.5475436628379017e-24
0.75,alpha,0.014119814356010632,0.013794597444009226,0.014445031268012038,0.0
0.75,beta1_up,0.1398672356181382,0.10082977430675708,0.17890469692951935,2.663715744424204e-12
0.75,beta1_dn,0.17459704255928246,0.14007100875116785,0.20912307636739708,8.331584279593542e-23
0.75,beta2_up,4.812628739209892,4.124434206407628,5.5008232720121555,1.7624207304338277e-41
0.75,beta2_dn,1.3634440892699902,1.0334055735931973,1.693482604946783,8.0558710528402855e-16
0.9,alpha,0.0161762850333253,0.015624970122856298,0.016727599943794302,0.0
0.9,beta1_up,0.26599246296167783,0.20407413204727154,0.32791079387608413,5.735585256502793e-17
0.9,beta1_dn,0.2576062002548357,0.19820769028406526,0.31700471022560617,2.9246225700122314e-17
0.9,beta2_up,3.0331625825219195,2.1807974751896264,3.8855276898542126,3.725071452053054e-12
0.9,beta2_dn,1.4036919444982412,0.981974521465091,1.8254093675313914,7.944991120828885e-11
